time,site,precip,rh,solrad,temp
1977-03-01,3103,0.0,0.2690423915062781,0.0,7.2
1977-04-01,3103,0.0,0.2553065292752837,0.0,6.7
1977-05-01,3103,0.0,0.1741736947403174,0.0,18.3
1977-06-01,3103,0.0,0.10785483004555547,0.0,28.9
1977-07-01,3103,0.0,0.1827026215304131,0.0,28.9
1977-08-01,3103,0.0,0.11347715159818668,0.0,32.2
1977-09-01,3103,0.0,0.3147285148919189,0.0,25.0
1977-10-01,3103,0.0,0.26873216420456536,0.0,20.6
1977-11-01,3103,0.0,0.40790916911927977,0.0,11.7
1977-12-01,3103,0.0,0.19578322781392912,0.0,6.7
1978-01-01,3103,0.0,0.9245466985863374,0.0,3.3
1978-02-01,3103,0.0,0.9245466985863374,0.0,3.3
1978-03-01,3103,50.0,1.0,0.0,3.9
1978-04-01,3103,5.0,0.7406099744253616,0.0,11.1
1978-05-01,3103,0.0,0.360892017504024,0.0,11.1
1978-06-01,3103,0.0,0.1383345724656451,0.0,23.3
1978-07-01,3103,0.0,0.11220711588342452,0.0,26.1
1978-08-01,3103,0.0,0.4348906820041961,0.0,22.2
1978-09-01,3103,0.0,0.19979280137762787,0.0,26.1
1978-10-01,3103,0.0,0.1864818404158255,0.0,23.9
1978-11-01,3103,0.0,0.5393887683170876,0.0,11.1
1978-12-01,3103,0.0,0.5299839611354841,0.0,7.2
1979-01-01,3103,0.0,0.3615638630599266,0.0,0.0
1979-02-01,3103,0.0,0.8778790467149233,0.0,-6.1
1979-03-01,3103,0.0,0.5914711955373877,0.0,3.3
1979-04-01,3103,0.0,0.3900335280141489,0.0,5.0
1979-05-01,3103,0.0,0.20068198918249192,0.0,16.1
1979-06-01,3103,0.0,0.3455250941343197,0.0,16.1
1979-07-01,3103,0.0,0.3993483731578735,0.0,20.6
1979-08-01,3103,0.0,0.1582080658595746,0.0,30.0
1979-09-01,3103,0.0,0.1934353364135485,0.0,23.9
1979-10-01,3103,0.0,0.2162903212778,0.0,22.8
1979-11-01,3103,0.0,0.2919596386624925,0.0,6.7
1979-12-01,3103,0.0,0.18922310791359875,0.0,0.6
1980-01-01,3103,0.0,0.8487217494183256,0.0,-2.2
1980-02-01,3103,0.0,0.6420817728393909,0.0,5.6
1980-03-01,3103,0.0,0.2356193332211069,0.0,11.1
1980-04-01,3103,0.0,0.4054914595568954,0.0,3.9
1980-05-01,3103,0.0,0.8199809900340267,0.0,5.0
1980-06-01,3103,0.0,0.16291582201859894,0.0,16.7
1980-07-01,3103,0.0,0.5414688922808593,0.0,20.0
1980-08-01,3103,0.0,0.5111028161366445,0.0,25.0
1980-09-01,3103,0.0,0.2445828437636793,0.0,22.8
1980-10-01,3103,0.0,0.1151775534012762,0.0,27.8
1980-11-01,3103,0.0,0.21316841796622527,0.0,13.3
1980-12-01,3103,0.0,0.2224357717224828,0.0,9.4
1981-01-01,3103,,,0.0,
1981-02-01,3103,,,0.0,
1981-03-01,3103,,,0.0,
1981-04-01,3103,,,0.0,
1981-05-01,3103,,,0.0,
1981-06-01,3103,,,0.0,
1981-07-01,3103,,,0.0,
1981-08-01,3103,,,0.0,
1981-09-01,3103,,,0.0,
1981-10-01,3103,,,0.0,
1981-11-01,3103,,,0.0,
1981-12-01,3103,,,0.0,
1982-01-01,3103,0.0,0.8548336244582387,0.0,3.9
1982-02-01,3103,0.0,0.3551968954598919,0.0,3.9
1982-03-01,3103,0.0,0.37748877202646974,0.0,12.2
1982-04-01,3103,0.0,0.4034216347799066,0.0,10.0
1982-05-01,3103,0.0,0.4033902417682225,0.0,16.7
1982-06-01,3103,0.0,0.14588419213239456,0.0,21.1
1982-07-01,3103,0.0,0.20976152570795656,0.0,20.0
1982-08-01,3103,0.0,0.2754338736842861,0.0,27.2
1982-09-01,3103,0.0,0.30678233219016826,0.0,26.1
1982-10-01,3103,0.0,0.28357871024093834,0.0,12.8
1982-11-01,3103,0.0,0.7862462362668309,0.0,5.6
