site,city,state,latitude,longitude
13962,ABLIENE               ,TX,32.26,99.41
13963,LITTLE ROCK           ,AR,34.44,92.14
13964,FORT SMITH            ,AR,35.2,94.22
13966,WICHITA FALLS         ,TX,33.58,98.29
13967,OKLAHOMA CITY         ,OK,35.24,97.36
13968,TULSA                 ,OK,36.12,95.54
13970,BATON ROUGE           ,LA,30.32,91.09
13985,DODGE CITY            ,KS,37.46,99.58
13994,ST. LOUIS             ,MO,38.45,90.23
13995,SPRINGFIELD           ,MO,37.14,93.23
13996,TOPEKA                ,KS,39.04,95.38
14607,CARIBOU               ,ME,46.52,68.01
14733,BUFFALO               ,NY,42.56,78.44
14734,NEWARK                ,NJ,40.42,74.1
14735,ALBANY                ,NY,42.45,73.48
14737,ALLENTOWN             ,PA,40.39,75.26
14739,BOSTON                ,MA,42.22,71.02
14740,HARTFORD              ,CT,41.56,72.41
14742,BURLINGTON            ,VT,44.28,73.09
14745,CONCORD               ,NH,43.12,71.3
14751,HARRISBURG            ,PA,40.13,76.51
14764,PORTLAND              ,ME,43.39,70.19
14765,PROVIDENCE            ,RI,41.44,71.26
14768,ROCHESTER             ,NY,43.07,77.4
14771,SYRACUSE              ,NY,43.07,76.07
14777,WILKES-BARRE          ,PA,41.2,75.44
14778,WILLIAMSPORT          ,PA,41.16,77.03
14820,CLEVELAND             ,OH,41.24,81.51
14821,COLUMBUS              ,OH,40,82.53
14826,FLINT                 ,MI,42.58,83.44
14827,FORT WAYNE            ,IN,41,85.12
14836,LANSING               ,MI,42.47,84.36
14837,MADISON               ,WI,43.08,89.2
14839,MILWAUKEE             ,WI,42.57,87.54
14840,MUSKEGON              ,MI,43.1,86.15
14842,PEORIA                ,IL,40.4,89.41
14847,SAULT STE. MARIE      ,MI,46.28,84.22
