time,site,rh
1977-10-01,03812,0.9311370130711608
1977-11-01,03812,0.5393887683170876
1977-12-01,03812,0.9597981584098306
1978-01-01,03812,0.7925599458907086
1978-02-01,03812,0.5977633156189209
1978-03-01,03812,0.9577065932469776
1978-04-01,03812,0.4147425982353235
1978-05-01,03812,0.8323899927045206
1978-06-01,03812,0.5514745119760945
1978-07-01,03812,0.5578811653957024
1978-08-01,03812,0.7813040424687309
1978-09-01,03812,0.8149688615888621
1978-10-01,03812,1.0
1978-11-01,03812,0.5719127157491796
1978-12-01,03812,0.7892210600954778
1979-01-01,03812,0.9290222622679494
1979-02-01,03812,0.5715557908569258
1979-03-01,03812,0.5367594829926471
1979-04-01,03812,0.6735739596551658
1979-05-01,03812,0.3758143864422981
1979-06-01,03812,0.8987343449337724
1979-07-01,03812,0.6109101831295528
1979-08-01,03812,0.7589385650193634
1979-09-01,03812,0.969085872988712
1979-10-01,03812,0.9616090792590888
1979-11-01,03812,1.0
1979-12-01,03812,0.5391251844177103
1980-01-01,03812,1.0
1980-02-01,03812,0.7398556613949514
1980-03-01,03812,0.3752552783215393
1980-04-01,03812,0.5604051529217441
1980-05-01,03812,0.4700925936315504
1980-06-01,03812,0.8392900864627763
1980-07-01,03812,0.4445873375372496
1980-08-01,03812,0.6894070903505234
1980-09-01,03812,0.9335973187442675
1980-10-01,03812,0.9616090792590888
1980-11-01,03812,0.4716005091991664
1980-12-01,03812,0.5326600144789723
1981-01-01,03812,0.9644895337686028
1981-02-01,03812,0.5786904106231079
1981-03-01,03812,0.3668235505666113
1981-04-01,03812,0.4645858891509658
1981-05-01,03812,0.3631497224411702
1981-06-01,03812,0.9321370822960658
1981-07-01,03812,0.9323613697429932
1981-08-01,03812,0.6972306324602595
1981-09-01,03812,0.7549512797951078
1981-10-01,03812,0.5624688867774261
1981-11-01,03812,0.8906478079870052
1981-12-01,03812,0.8548336244582387
1982-01-01,03812,1.0
1982-02-01,03812,0.8590217661196571
1982-03-01,03812,0.9245466985863374
1982-04-01,03812,0.7730537261816048
1982-05-01,03812,0.3323587734228071
1982-06-01,03812,0.9331157891062244
1982-07-01,03812,0.6803885778641061
1982-08-01,03812,0.9627330048814948
1982-09-01,03812,1.0
1982-10-01,03812,0.8949775880923109
1982-11-01,03812,0.7425723106616869
1982-12-01,03812,0.8552619292401806
1983-01-01,03812,0.9245466985863374
1983-02-01,03812,0.4956308652828073
1983-03-01,03812,0.8569499946599328
1983-04-01,03812,0.7625887942241555
1983-05-01,03812,0.6027857350009921
1983-06-01,03812,0.670611939385178
1983-07-01,03812,1.0
1983-08-01,03812,0.7339692713363914
1983-09-01,03812,0.9627330048814948
1983-10-01,03812,0.6920162297149828
1983-11-01,03812,0.7423375668502388
1983-12-01,03812,0.4659261539280773
1984-01-01,03812,
1984-02-01,03812,
1984-03-01,03812,
1984-04-01,03812,
1984-05-01,03812,
1984-06-01,03812,
1984-07-01,03812,
1984-08-01,03812,
1984-09-01,03812,
1984-10-01,03812,
1984-11-01,03812,
1984-12-01,03812,
1985-01-01,03812,0.8635707770448494
1985-02-01,03812,1.0
1985-03-01,03812,0.3687061728732269
1985-04-01,03812,0.4209161161213786
1985-05-01,03812,0.4603576139833764
1985-06-01,03812,0.7313445213561459
1985-07-01,03812,0.7775708013400527
1985-08-01,03812,0.900156311727383
1985-09-01,03812,0.7819613106619738
1985-10-01,03812,0.7216237066765141
1985-11-01,03812,0.9671571525632934
1985-12-01,03812,0.9674051059434222
1986-01-01,03812,0.9650433139145717
1986-02-01,03812,0.3930030100604133
1986-03-01,03812,0.6590041941924706
1986-04-01,03812,0.2316094796596172
1986-05-01,03812,0.3126141980632026
1986-06-01,03812,0.5467509222383191
1986-07-01,03812,0.7347344465374349
1986-08-01,03812,0.4625522782944531
1986-09-01,03812,0.9616090792590888
1986-10-01,03812,0.8386890920604342
1986-11-01,03812,0.5719127157491796
1986-12-01,03812,0.8514995580413345
1987-01-01,03812,
1987-02-01,03812,
1987-03-01,03812,
1987-04-01,03812,
1987-05-01,03812,
1987-06-01,03812,
1987-07-01,03812,
1987-08-01,03812,
1987-09-01,03812,
1987-10-01,03812,
1987-11-01,03812,
1987-12-01,03812,
1988-01-01,03812,0.5326600144789723
1988-02-01,03812,0.8914477257799892
1988-03-01,03812,0.4034216347799066
1988-04-01,03812,0.5301118738953701
1988-05-01,03812,0.3270938751054377
1988-06-01,03812,0.41476421635057736
1988-07-01,03812,0.7833294877616278
1988-08-01,03812,0.5195768803674248
1988-09-01,03812,0.8092047784796821
1988-10-01,03812,0.8674842597261327
1988-11-01,03812,0.9653153881417058
1988-12-01,03812,0.7896080969419703
1989-01-01,03812,0.9594887184072224
1989-02-01,03812,0.5203850479058025
1989-03-01,03812,0.5459733692780306
1989-04-01,03812,0.6766546544578611
1989-05-01,03812,0.8608742417522658
1989-06-01,03812,0.6166101979640454
1989-07-01,03812,0.7813040424687309
1989-08-01,03812,0.9335973187442675
1989-09-01,03812,0.6538473874517964
1989-10-01,03812,1.0
1989-11-01,03812,0.7722184894862184
1989-12-01,03812,0.4785315346473519
1990-01-01,03812,
1990-02-01,03812,
1990-03-01,03812,
1990-04-01,03812,
1990-05-01,03812,
1990-06-01,03812,
1990-07-01,03812,
1990-08-01,03812,
1990-09-01,03812,
1990-10-01,03812,
1990-11-01,03812,
1990-12-01,03812,
1961-01-01,03813,0.967650277718582
1961-02-01,03813,0.26088849962157196
1961-03-01,03813,0.6063539672634417
1961-04-01,03813,0.8669719952326441
1961-05-01,03813,0.3631497224411702
1961-06-01,03813,0.4187427867094057
1961-07-01,03813,0.4396949424154481
1961-08-01,03813,0.3502483848459566
1961-09-01,03813,0.9634228876430104
1961-10-01,03813,0.8080122669075582
1961-11-01,03813,0.5341094215858359
1961-12-01,03813,0.3716456768519596
1962-01-01,03813,0.4573585827885186
1962-02-01,03813,0.4834492944558638
1962-03-01,03813,0.8401565242643565
1962-04-01,03813,0.9313662090576852
1962-05-01,03813,0.3520512365432114
1962-06-01,03813,0.969085872988712
1962-07-01,03813,0.3936983691021128
1962-08-01,03813,0.4729920044819304
1962-09-01,03813,0.5201468475221545
1962-10-01,03813,0.6569698968749647
1962-11-01,03813,0.3989780546578405
1962-12-01,03813,0.6632381821171698
1963-01-01,03813,0.5486411279400081
1963-02-01,03813,0.6920162297149828
